CEP,CIDADE,BAIRRO,ENDEREÇO,COMPLEMENTO
60015052,Fortaleza/CE,Farias Brito,Avenida Imperador - de 1360 ao fim - lado par,
60015060,Fortaleza/CE,Centro,Rua Princesa Isabel - até 1368/1369,
60015061,Fortaleza/CE,Farias Brito,Rua Princesa Isabel - de 1370/1371 a 1948/1949,
60015070,Fortaleza/CE,Centro,Rua Estefânia Salgado,
60015080,Fortaleza/CE,Centro,Vila Rocha Lima,
60015090,Fortaleza/CE,Farias Brito,Vila das Missões,
60015100,Fortaleza/CE,Farias Brito,Vila Mota,
60015103,Fortaleza/CE,Farias Brito,Rua Domingos Olímpio - de 1501 ao fim - lado ímpar,
60015104,Fortaleza/CE,Farias Brito,Rua Antônio Pompeu - de 2002 ao fim - lado par,
60015105,Fortaleza/CE,Farias Brito,Vila Trairi,
60015107,Fortaleza/CE,Farias Brito,Rua Antônio Pompeu - de 1401 ao fim - lado ímpar,
60015108,Fortaleza/CE,Farias Brito,Rua Domingos Olímpio - de 1502 ao fim - lado par,
60015110,Fortaleza/CE,Farias Brito,Vila São Marcos,
60015120,Fortaleza/CE,Farias Brito,Vila Condessa,
60015122,Fortaleza/CE,Farias Brito,Rua Luís de Miranda - lado par,
60015125,Fortaleza/CE,Farias Brito,Vila Toluca,
60015128,Fortaleza/CE,Farias Brito,Rua dos Praçinhas - lado par,
60015130,Fortaleza/CE,Farias Brito,Vila Medeiros,
60015140,Fortaleza/CE,Centro,Rua Teresa Cristina - até 1349/1350,
60015141,Fortaleza/CE,Farias Brito,Rua Teresa Cristina - de 1351/1352 a 1948/1949,
60015142,Fortaleza/CE,Centro,Vila Santa Terezinha,
60015150,Fortaleza/CE,Centro,Vila Via Férrea,
60015160,Fortaleza/CE,Centro,Vila Doutor Monteiro,
60015170,Fortaleza/CE,Farias Brito,Rua Alerta,
60015180,Fortaleza/CE,Farias Brito,Rua Gil Amora,
60015185,Fortaleza/CE,Farias Brito,Rua Gervásio de Castro - de 200/201 ao fim,
60015190,Fortaleza/CE,Farias Brito,Rua Marconi,
60015200,Fortaleza/CE,Farias Brito,Vila Tipuja,
60015205,Fortaleza/CE,Farias Brito,Travessa Campos Sales,
60015210,Fortaleza/CE,Farias Brito,Rua Campos Sales,
60015220,Fortaleza/CE,Centro,Rua Padre Mororó - de 351/352 a 1758/1759,
60015221,Fortaleza/CE,Farias Brito,Rua Padre Mororó - de 1760/1761 ao fim,
60015230,Fortaleza/CE,Centro,Vila Santa Elisa,
60015240,Fortaleza/CE,Centro,Vila Ceará,
60015250,Fortaleza/CE,Centro,Vila Azul,
60015260,Fortaleza/CE,Farias Brito,Rua Barão de Ibiapaba,
60015270,Fortaleza/CE,Farias Brito,Travessa São Camilo,
60015280,Fortaleza/CE,Farias Brito,Vila Francisco Gerardo,
60015290,Fortaleza/CE,Benfica,Rua Carapinima,
60015300,Fortaleza/CE,Benfica,Rua Instituto do Ceará,
60015320,Fortaleza/CE,Benfica,Rua Senador Catunda,
60015330,Fortaleza/CE,Benfica,Rua Luís de Miranda - lado ímpar,
60015331,Fortaleza/CE,Benfica,Rua dos Praçinhas - lado ímpar,
60015335,Fortaleza/CE,Benfica,Rua Justiniano de Serpa - de 681/682 ao fim,
60015340,Fortaleza/CE,Benfica,Rua Juvenal Galeno,
60015343,Fortaleza/CE,Benfica,Rua Gervásio de Castro - até 198/199,
60015345,Fortaleza/CE,Benfica,Rua Batoque,
60015350,Fortaleza/CE,Benfica,Rua Pequena,
60015355,Fortaleza/CE,Benfica,Rua Dom Jerônimo - de 681/682 ao fim,
60015360,Fortaleza/CE,Benfica,Rua Inácio Barroso,
60015370,Fortaleza/CE,Benfica,Rua Edson Alves de Oliveira,
60015380,Fortaleza/CE,Benfica,Vila Gurgel,
60015390,Fortaleza/CE,Benfica,Rua Confúcio Pamplona,
